#########
# Flaws #
#########
Fractured Memory,-4,-,""
Clouded Memory,-2,-,""
Fading Memory,-2,-,""
Oath Bound,-6,-,""
Sovereign Zeal,-2,-,""
Frail,-2,-,""

##########
# Traits #
##########
Magical Aptitude,4,-,""
Prophetic Dreamer,6,-,""
Military Experience,4:0,-,""
Bardic Knowledge,4,-,""
Nobility,6,-,""

########################
# Weapon Proficiencies #
########################
Short Weapons,1,-,""
One-handed Weapons,2,"Short Weapons","1H Weapons"
Two-handed Weapons,3,"One-handed Weapons","2H Weapons"
Oversized Weapon Use,2,"Two-handed Weapons",""
Thrown Weapons,2,-,""
Bow and Arrow,3,-,""
Two-weapon Fighting: Apprentice,3,-,"Two-weapon Fighting"
Two-weapon Fighting: Journeyman,3,"Two-weapon Fighting: Apprentice",""
Two-weapon Fighting: Master,3,"Two-weapon Fighting: Journeyman",""

#######################
# Armor Proficiencies #
#######################
Armored Training: Light,2,-,"Light Armor"
Armored Training: Medium,2,"Armored Training: Light","Medium Armor"
Armored Training: Heavy,2,"Armored Training: Medium","Heavy Armor"
Small Shield,3,-,""
Medium Shield,3,"Small Shield",""
Helmet Mastery,2,-,""
Visor Mastery,2,"Helmet Mastery",""

#########################
# General Combat Skills #
#########################
Toughness,3*5,-,""
Dodge,6*0,-,""
Willpower,6*0,-,""
Parry,4*0,-,""
Guardian,4,"Parry",""
Stamina Training,2,-,""
Great Stamina,4,"Stamina Training",""
3-Damage Strike,3*0,-,""
5-Damage Strike,6*0,-,""
Stun,3*0,-,""

#########################
# Archery and Woodcraft #
#########################
Precision,7,"Bow and Arrow, 3-Damage Strike ×2",""
Master Precision,7,"Precision, 5-Damage Strike ×2",""
Ranged Disarm,*6,"Precision",""
Volley Master,10,"Master Precision",""
Tracking,3,-,""
Mask Tracks,6,"Tracking",""
Mask Tracks: Group,4,"Mask Tracks",""
False Tracks,6,"Mask Tracks",""
False Tracks: Group,6,"False Tracks",""
Scouting,2,"Tracking",""

####################
# Officer Training #
####################
Sudden Motivation,1*0,-,""
Inspirational Speech,2*0,-,""
Defensive Instruction,4*0,"Parry",""
Evasive Instruction,6*0,"Dodge",""
Offensive Instruction,6*0,"5-Damage Strike",""
Military Drill,10,"Defensive Instruction OR Evasive Instruction OR Offensive Instruction",""
